code,name,fund_type,规模(亿),window,strategy,annualized_return_pct,max_drawdown_pct,sharpe_ratio,win_rate_pct,total_return_pct,vs_lump_sum_pct,score
018232,易方达全球优质企业混合(QDII)C(美元现汇份额),QDII-混合偏股,14.15,0.5y,价值平均法,83.24,9.22,3.162,100.0,35.37,-16.42,47.2
014143,银河创新成长混合C,混合型-偏股,30.06,0.5y,价值平均法,95.19,16.46,2.072,80.0,39.71,-5.65,47.09
008507,交银内核驱动混合,混合型-偏股,19.39,0.5y,价值平均法,90.94,10.98,2.736,80.0,38.18,-12.65,47.06
000308,建信创新中国混合,混合型-偏股,3.36,0.5y,价值平均法,83.16,13.75,3.741,100.0,35.34,-26.22,47.05
014497,诺安研究优选混合C,混合型-偏股,13.99,0.5y,价值平均法,94.48,15.9,2.445,80.0,39.46,-13.2,47.05
006533,易方达科融混合,混合型-偏股,77.66,0.5y,价值平均法,76.95,4.38,3.028,100.0,33.02,-9.92,47.03
159997,电子ETF天弘,指数型-股票,11.29,0.5y,价值平均法,91.4,12.73,2.575,80.0,38.35,-8.79,46.98
010389,易方达科益混合A,混合型-偏股,2.96,0.5y,价值平均法,84.42,9.35,2.832,100.0,35.8,-14.96,46.94
001072,华安智能装备主题股票A,股票型,15.9,0.5y,价值平均法,82.54,12.78,3.491,100.0,35.11,-20.47,46.86
021431,景顺长城精锐成长混合A,混合型-偏股,3.76,0.5y,价值平均法,83.96,7.57,3.019,100.0,35.63,-24.31,46.72
000327,南方潜力新蓝筹混合A,混合型-偏股,3.99,0.5y,价值平均法,80.15,7.17,3.293,100.0,34.22,-18.39,46.68
001037,国投瑞银锐意改革混合A,混合型-灵活,2.77,0.5y,价值平均法,99.11,14.26,2.115,60.0,41.11,-7.72,46.59
398011,中海分红增利混合,混合型-灵活,2.3,0.5y,价值平均法,91.98,12.19,2.514,80.0,38.56,-14.22,46.56
013622,华安智能装备主题股票C,股票型,7.19,0.5y,价值平均法,81.78,12.79,3.467,100.0,34.83,-20.28,46.54
014002,浦银安盛全球智能科技(QDII)C,QDII-普通股票,19.34,0.5y,价值平均法,90.71,11.6,2.537,80.0,38.1,-11.96,46.46
020755,永赢融安混合A,混合型-偏股,3.86,0.5y,价值平均法,85.12,13.29,2.952,100.0,36.06,-21.0,46.35
021432,景顺长城精锐成长混合C,混合型-偏股,10.34,0.5y,价值平均法,83.09,7.6,2.997,100.0,35.31,-24.07,46.35
001039,嘉实先进制造股票,股票型,6.33,0.5y,价值平均法,77.46,7.29,3.559,100.0,33.22,-18.23,46.31
005962,宝盈人工智能股票A,股票型,6.52,0.5y,价值平均法,89.37,13.8,2.747,80.0,37.61,-11.79,46.26
005967,鹏华创新驱动混合A,混合型-偏股,2.63,0.5y,价值平均法,94.5,20.02,1.943,80.0,39.46,-7.07,46.17
006868,华夏科技成长股票,股票型,3.41,0.5y,价值平均法,86.05,10.5,3.006,80.0,36.4,-11.06,46.17
519698,交银先锋混合A,混合型-偏股,5.61,0.5y,价值平均法,88.74,11.43,2.736,80.0,37.38,-12.94,46.16
020758,永赢融安混合C,混合型-偏股,7.54,0.5y,价值平均法,84.43,13.33,2.932,100.0,35.81,-20.78,46.07
550009,中信保诚中小盘混合A,混合型-偏股,2.02,0.5y,价值平均法,81.13,10.96,3.088,100.0,34.58,-16.51,45.94
005963,宝盈人工智能股票C,股票型,3.54,0.5y,价值平均法,88.49,13.85,2.721,80.0,37.29,-11.51,45.9
588020,科创成长ETF易方达,指数型-股票,9.1,0.5y,价值平均法,83.06,9.66,2.714,100.0,35.3,-16.84,45.89
588110,科创成长ETF广发,指数型-股票,3.43,0.5y,价值平均法,82.99,9.71,2.7,100.0,35.27,-16.44,45.86
000609,华商新量化混合A,混合型-灵活,2.25,0.5y,价值平均法,77.35,8.95,3.241,100.0,33.17,-12.31,45.67
002861,工银智能制造股票A,股票型,5.83,0.5y,价值平均法,82.35,8.36,2.976,100.0,35.04,-25.6,45.67
001678,英大国企改革A,股票型,3.5,0.5y,价值平均法,87.58,16.05,3.041,80.0,36.96,-17.5,45.6
050004,博时精选混合A,混合型-偏股,16.96,0.5y,价值平均法,73.21,4.3,3.032,100.0,31.61,-11.09,45.5
008253,华宝致远混合(QDII)A,QDII-混合偏股,2.26,0.5y,价值平均法,89.99,13.83,2.341,80.0,37.84,-12.06,45.44
022710,工银智能制造股票C,股票型,4.06,0.5y,价值平均法,81.66,8.42,2.962,100.0,34.78,-25.38,45.39
000209,中信保诚新兴产业混合A,混合型-偏股,14.88,0.5y,价值平均法,78.43,10.55,3.228,100.0,33.58,-16.54,45.35
002939,广发创新升级混合,混合型-灵活,34.64,0.5y,价值平均法,84.43,16.63,2.642,100.0,35.8,-18.78,45.29
673141,西部利得景程混合A,混合型-灵活,2.2,0.5y,价值平均法,82.32,9.91,3.307,83.3,35.02,-18.34,45.24
007353,工银科技创新混合,混合型-偏股,4.73,0.5y,价值平均法,86.17,11.21,2.678,80.0,36.44,-11.67,45.22
022754,易方达科鑫量化选股股票发起式A,股票型,9.11,0.5y,价值平均法,74.01,8.33,3.807,100.0,31.91,-19.88,45.21
012493,长信内需均衡混合A,混合型-偏股,3.98,0.5y,价值平均法,77.09,9.51,3.288,100.0,33.08,-16.3,45.19
014727,易方达成长动力混合A,混合型-偏股,20.92,0.5y,价值平均法,72.86,4.51,2.962,100.0,31.47,-10.02,45.13
014460,平安品质优选混合A,混合型-偏股,6.26,0.5y,价值平均法,84.34,17.94,2.635,100.0,35.77,-19.99,45.05
016486,中欧成长先锋混合C,混合型-偏股,4.85,0.5y,价值平均法,82.65,6.33,2.178,83.3,35.15,-2.6,45.05
001617,天弘中证电子ETF联接A,指数型-股票,3.13,0.5y,价值平均法,85.78,12.12,2.568,80.0,36.3,-8.23,45.04
700003,平安策略先锋混合,混合型-灵活,21.52,0.5y,价值平均法,88.78,17.45,2.792,80.0,37.4,-20.41,45.03
022755,易方达科鑫量化选股股票发起式C,股票型,9.16,0.5y,价值平均法,73.57,8.36,3.791,100.0,31.74,-19.76,45.01
001618,天弘中证电子ETF联接C,指数型-股票,5.22,0.5y,价值平均法,85.57,12.14,2.561,80.0,36.23,-8.15,44.95
000906,广发全球精选股票(QDII)美元A,QDII-普通股票,112.68,0.5y,价值平均法,75.94,7.79,2.977,100.0,32.64,-10.72,44.9
014728,易方达成长动力混合C,混合型-偏股,13.7,0.5y,价值平均法,72.29,4.52,2.941,100.0,31.26,-9.88,44.86
015079,永赢成长远航一年持有混合A,混合型-偏股,2.11,0.5y,价值平均法,80.38,11.55,2.901,100.0,34.3,-20.25,44.75
008716,鹏华优质回报两年定开混合,混合型-偏股,5.61,0.5y,价值平均法,81.07,9.59,2.924,83.3,34.56,-9.88,44.72
014461,平安品质优选混合C,混合型-偏股,2.23,0.5y,价值平均法,83.48,17.98,2.613,100.0,35.46,-19.7,44.71
001404,招商移动互联网产业股票基金A,股票型,5.47,0.5y,价值平均法,88.54,17.36,2.301,80.0,37.31,-11.42,44.62
012541,金鹰产业升级混合A,混合型-偏股,7.33,0.5y,价值平均法,84.65,13.56,2.445,83.3,35.89,-7.0,44.62
202027,南方高端装备混合A,混合型-偏股,8.92,0.5y,价值平均法,86.6,11.97,2.428,80.0,36.6,-13.6,44.47
004391,平安转型创新混合C,混合型-灵活,2.65,0.5y,价值平均法,82.43,16.98,2.679,100.0,35.07,-20.73,44.45
005136,华安幸福生活混合A,混合型-偏股,6.13,0.5y,价值平均法,77.64,10.75,2.863,100.0,33.28,-14.06,44.37
007119,睿远成长价值混合A,混合型-偏股,165.0,0.5y,价值平均法,75.63,6.96,2.626,100.0,32.53,-10.03,44.21
018229,易方达全球优质企业混合(QDII)A(人民币份额),QDII-混合偏股,18.79,0.5y,价值平均法,76.03,9.24,2.944,100.0,32.68,-14.06,44.21
110029,易方达科讯混合,混合型-偏股,77.39,0.5y,价值平均法,74.89,4.49,2.888,83.3,32.25,-9.07,44.19
588350,科创创业50ETF鹏扬,指数型-股票,12.5,0.5y,价值平均法,80.44,6.51,2.526,80.0,34.33,-8.65,44.08
010383,宝盈基础产业混合A,混合型-偏股,2.87,0.5y,价值平均法,82.96,13.57,2.895,80.0,35.26,-14.38,44.06
588330,双创50ETF华宝,指数型-股票,9.22,0.5y,价值平均法,80.28,6.48,2.544,80.0,34.27,-8.85,44.05
017987,易方达国企主题混合A,混合型-偏股,4.17,0.5y,价值平均法,77.13,13.52,3.072,100.0,33.09,-17.85,44.03
